Date	Open	High	Low	Close	Adj Close	Volume
2023-11-24	13.50	13.54	13.28	13.39	13.39	18,133,100.00
2023-11-27	13.44	13.63	13.37	13.58	13.58	22,972,800.00
2023-11-28	13.52	13.71	13.52	13.65	13.65	14,913,700.00
2023-11-29	13.63	13.69	13.30	13.30	13.30	19,363,500.00
2023-11-30	13.30	13.74	13.25	13.69	13.69	41,991,100.00
2023-12-01	13.69	14.08	13.60	14.08	14.08	30,042,200.00
2023-12-04	14.03	14.09	13.99	14.06	14.06	9,861,400.00
2023-12-05	14.08	14.37	14.07	14.24	14.24	36,765,000.00
2023-12-06	14.27	14.32	13.91	13.99	13.99	20,919,500.00
2023-12-07	14.02	14.28	14.02	14.08	14.08	11,940,500.00
2023-12-08	14.28	14.49	14.17	14.31	14.31	16,690,900.00
