Date	Open	High	Low	Close	Adj Close	Volume	dt_igtao
2023-11-27	30.83	30.96	30.51	30.60	30.34	18,069,400.00	20231211_025320
2023-11-28	30.59	31.05	30.48	30.90	30.64	20,636,100.00	20231211_025320
2023-11-29	31.20	31.38	30.84	31.11	30.85	22,551,800.00	20231211_025320
2023-11-30	31.30	31.66	31.23	31.59	31.32	43,096,800.00	20231211_025320
2023-12-01	31.55	31.68	31.13	31.50	31.25	30,520,400.00	20231211_025320
2023-12-04	31.32	31.75	31.31	31.54	31.29	12,985,900.00	20231211_025320
2023-12-05	31.59	31.96	31.52	31.80	31.55	25,971,100.00	20231211_025320
2023-12-06	31.92	32.00	31.32	31.52	31.27	23,288,100.00	20231211_025320
2023-12-07	31.45	31.62	31.21	31.62	31.62	20,109,400.00	20231211_025320
2023-12-08	31.53	32.12	31.44	32.02	32.02	18,519,300.00	20231211_025320
