Date	Open	High	Low	Close	Adj Close	Volume
2023-11-24	34.98	35.82	34.71	35.27	35.27	53,456,200.00
2023-11-27	35.00	35.40	34.75	35.07	35.07	36,996,000.00
2023-11-28	35.17	35.62	35.15	35.60	35.60	36,875,900.00
2023-11-29	35.90	36.03	34.94	35.23	35.23	37,528,600.00
2023-11-30	35.46	35.92	35.24	35.91	35.91	58,808,800.00
2023-12-01	35.72	36.00	35.53	35.67	35.67	36,388,100.00
2023-12-04	35.44	35.55	34.85	34.91	34.91	35,601,900.00
2023-12-05	34.92	35.17	34.68	34.75	34.75	43,234,200.00
2023-12-06	34.55	34.80	33.50	33.50	33.50	64,179,200.00
2023-12-07	33.65	34.18	33.04	33.42	33.42	64,723,900.00
2023-12-08	33.71	34.54	33.48	34.49	34.49	53,290,700.00
