Date	Open	High	Low	Close	Adj Close	Volume	dt_igtao
2023-11-27	73.44	73.86	72.90	73.31	73.31	17,312,300.00	20231211_025320
2023-11-28	72.28	73.77	72.16	73.47	73.47	22,019,000.00	20231211_025320
2023-11-29	73.80	74.00	72.71	73.45	73.45	15,853,100.00	20231211_025320
2023-11-30	74.01	74.44	73.72	73.85	73.85	29,712,900.00	20231211_025320
2023-12-01	74.73	75.48	74.42	75.22	75.22	25,025,200.00	20231211_025320
2023-12-04	74.24	74.50	73.04	73.53	73.53	22,402,300.00	20231211_025320
2023-12-05	73.23	73.37	72.53	72.85	72.85	25,179,500.00	20231211_025320
2023-12-06	73.50	73.92	72.12	72.37	72.37	20,503,900.00	20231211_025320
2023-12-07	72.69	73.08	72.42	72.60	72.60	17,535,800.00	20231211_025320
2023-12-08	73.10	73.26	72.33	72.80	72.80	16,083,200.00	20231211_025320
