Date;Open;High;Low;Close;Adj Close;Volume
2023-11-10;119,036.00;120,823.00;119,036.00;120,636.00;120,636.00;0.00
2023-11-13;120,561.00;120,606.00;119,878.00;120,376.00;120,376.00;11,198,000.00
2023-11-14;120,411.00;123,370.00;120,411.00;123,328.00;123,328.00;19,427,900.00
2023-11-16;123,165.00;124,737.00;123,165.00;124,576.00;124,576.00;18,355,600.00
2023-11-17;124,639.00;125,431.00;124,547.00;125,062.00;125,062.00;15,719,100.00
2023-11-20;124,773.00;126,162.00;124,773.00;126,095.00;126,095.00;11,108,500.00
2023-11-21;125,957.00;125,957.00;125,060.00;125,607.00;125,607.00;10,793,500.00
2023-11-22;125,626.00;126,875.00;125,439.00;126,035.00;126,035.00;14,058,500.00
2023-11-23;126,035.00;126,760.00;125,764.00;126,576.00;126,576.00;7,816,400.00
2023-11-24;126,553.00;126,553.00;125,341.00;125,542.00;125,542.00;9,613,100.00
2023-11-27;125,517.00;125,826.00;124,840.00;125,683.00;125,683.00;11,013,800.00
2023-11-28;125,726.00;126,916.00;125,388.00;126,538.00;126,538.00;12,394,200.00
2023-11-29;126,541.00;127,388.00;126,018.00;126,101.00;126,101.00;12,417,500.00
2023-11-30;126,168.00;127,399.00;126,168.00;127,331.00;127,331.00;19,238,400.00
2023-12-01;127,331.00;128,165.00;126,656.00;128,103.00;128,103.00;13,696,500.00
2023-12-04;128,183.00;128,183.00;126,643.00;126,803.00;126,803.00;10,270,500.00
2023-12-05;126,802.00;127,489.00;126,491.00;126,903.00;126,903.00;11,960,300.00
2023-12-06;126,907.00;127,538.00;125,614.00;125,623.00;125,623.00;10,837,300.00
2023-12-07;125,623.00;126,581.00;125,566.00;126,010.00;126,010.00;10,505,300.00
2023-12-08;126,010.00;127,289.00;125,562.00;127,094.00;127,094.00;10,745,300.00
