Date	Open	High	Low	Close	Adj Close	Volume
2023-11-24	16.07	16.24	16.01	16.16	16.14	28,854,100.00
2023-11-27	16.18	16.23	15.96	16.06	16.04	25,263,900.00
2023-11-28	16.02	16.28	15.93	16.21	16.19	43,584,200.00
2023-11-29	16.37	16.49	16.12	16.13	16.11	36,063,500.00
2023-11-30	16.15	16.33	16.13	16.27	16.25	54,061,000.00
2023-12-01	16.30	16.34	16.10	16.32	16.30	43,911,800.00
2023-12-04	16.22	16.39	16.12	16.18	16.18	24,320,200.00
2023-12-05	16.25	16.43	16.17	16.33	16.33	33,186,200.00
2023-12-06	16.37	16.47	16.15	16.16	16.16	33,542,000.00
2023-12-07	16.25	16.31	16.09	16.20	16.20	26,382,800.00
2023-12-08	16.23	16.56	16.05	16.46	16.46	40,696,300.00
